service group,department,organisation,staff group,metric,month
Corporate Support Services,Overseas DEPT,Yeovil IR 75424,Allied Health Professionals,Leavers,1
Neighbourhood Services,Crewkerne Community Hospital,Med Comm Hosp Inp Crewkerne 21564,Nursing and Midwifery Registered,Hires,1
Corporate Support Services,Overseas DEPT,Yeovil IR 75424,Allied Health Professionals,Sickness,1
Neighbourhood Services,Crewkerne Community Hospital,Med Comm Hosp Inp Crewkerne 21564,Medical and Dental,Hires,1
Corporate Support Services,PPI & Complaints,Patient and Public Involvement,Administrative and Clerical,Hires,1
Corporate Support Services,PPI & Complaints,Patient and Public Involvement,Administrative and Clerical,Leavers,1
Neighbourhood Services,Crewkerne Community Hospital,Crewkerne Administration 21560,Administrative and Clerical,Leavers,1
Neighbourhood Services,Complex Care DEPT,Complex Care 76010,Nursing and Midwifery Registered,Hires,1
Corporate Support Services,Research and Development,Graceful 00153,Administrative and Clerical,Leavers,1
Corporate Support Services,Merger & Alliance DEPT,Mergers and Acquisitions 75329,Administrative and Clerical,Leavers,1
Corporate Support Services,Merger & Alliance DEPT,Merger & Alliance 00147,Administrative and Clerical,Hires,1
Corporate Support Services,Safeguarding,Safeguarding PHN 00219,Administrative and Clerical,Leavers,1
Neighbourhood Services,Int Team N Sedge & B'Water,DN Bridgwater Bay 61001,Additional Clinical Services,Hires,1
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Older People Mental Health 61302,Add Prof Scientific and Technic,Leavers,1
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Older People Mental Health 61302,Add Prof Scientific and Technic,Hires,1
Corporate Support Services,Medical Education Director of People,Post Grad Med Education - YDH 75516,Administrative and Clerical,Hires,1
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Integrated Rehabilitation Team 61301,Allied Health Professionals,Leavers,1
Corporate Support Services,Medical Education Director of People,Post Grad Med Education - YDH 75516,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,Int Team N Sedge & B'Water,LARCH Team 76014,Allied Health Professionals,Hires,1
Neighbourhood Services,Int Team N Sedge & B'Water,LARCH Project 60020,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,Int Team N Sedge & B'Water,LARCH Project 60020,Administrative and Clerical,Leavers,1
Corporate Support Services,Medical Education Director of People,Post Grad Medical Centre - MPH 02018,Estates and Ancillary,Hires,1
Neighbourhood Services,Int Team N Sedge & B'Water,District Nursing Nights 60040,Administrative and Clerical,Hires,1
Corporate Support Services,Medical Education Director of People,Post Grad Medical Centre - MPH 02018,Estates and Ancillary,Leavers,1
Corporate Support Services,Medical Education Director of People,Somerset Academy 02015,Medical and Dental,Hires,1
Corporate Support Services,Medical Education Director of People,Somerset Academy 02015,Medical and Dental,Leavers,1
Neighbourhood Services,Int Team N Sedge & B'Water,DN North Sedgemoor 61300,Administrative and Clerical,Leavers,1
Corporate Support Services,Medical Examiner,Medical Examiner 75459,Medical and Dental,Hires,1
Neighbourhood Services,Int Team N Sedge & B'Water,DN Bridgwater Bay 61001,Administrative and Clerical,Hires,1
Neighbourhood Services,Int Team N Sedge & B'Water,DN Bridgwater Bay 61001,Additional Clinical Services,Leavers,1
Neighbourhood Services,Complex Care DEPT,Complex Care 76010,Administrative and Clerical,Hires,1
Corporate Support Services,Research and Development,Research & Development 75499,Additional Clinical Services,Leavers,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Somerset Fatigue Service 67201,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Somerset Fatigue Service 67201,Nursing and Midwifery Registered,Hires,1
Corporate Support Services,Resourcing,Futures Workforce 75521,Allied Health Professionals,Hires,1
Corporate Support Services,Resourcing,Futures Workforce 75521,Allied Health Professionals,Leavers,1
Neighbourhood Services,Burnham on Sea Comm Hospital,Burnham Administration 21520,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,Burnham on Sea Comm Hospital,Burnham Administration 21520,Nursing and Midwifery Registered,Hires,1
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Wards 21503,Allied Health Professionals,Leavers,1
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Wards 21503,Allied Health Professionals,Hires,1
Corporate Support Services,Resourcing,Recruitment 02007,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Medical 21504,Medical and Dental,Leavers,1
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Administration 21500,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Administration 21500,Nursing and Midwifery Registered,Hires,1
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Yeovil Crisis Resolution Team 52201,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Urgent Care Hub 52102,Administrative and Clerical,Hires,1
Corporate Support Services,Safeguarding,Safeguarding 00207,Medical and Dental,Leavers,1
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Urgent Care Hub 52102,Add Prof Scientific and Technic,Hires,1
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Taunton Crisis Resolution Team 52101,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Taunton Crisis Resolution Team 52101,Nursing and Midwifery Registered,Hires,1
Corporate Support Services,Safeguarding,Safeguarding Children Team 00212,Administrative and Clerical,Hires,1
Neighbourhood Services,Burnham on Sea Comm Hospital,Burnham OPD 21401,Nursing and Midwifery Registered,Hires,1
Corporate Support Services,Resourcing,Futures Workforce 75521,Administrative and Clerical,Leavers,1
Corporate Support Services,Resourcing,Futures Workforce 75521,Add Prof Scientific and Technic,Hires,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Chronic Fatigue Syndrome 67200,Allied Health Professionals,Leavers,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Somerset Fatigue Service 67201,Allied Health Professionals,Leavers,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Somerset Fatigue Service 67201,Allied Health Professionals,Hires,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Somerset Fatigue Service 67201,Administrative and Clerical,Hires,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Somerset Fatigue Service 67201,Add Prof Scientific and Technic,Hires,1
Corporate Support Services,Research and Development,Research & Development 75499,Allied Health Professionals,Hires,1
Corporate Support Services,Research and Development,Research & Development 75499,Nursing and Midwifery Registered,Hires,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Chronic Fatigue Syndrome 67200,Medical and Dental,Hires,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Chronic Fatigue Syndrome 67200,Allied Health Professionals,Hires,1
Corporate Support Services,Resourcing,Flexible Workforce 02064,Administrative and Clerical,Hires,1
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Chronic Fatigue Syndrome 67200,Add Prof Scientific and Technic,Hires,1
Neighbourhood Services,Chard Community Hospital,Chard Outpatients 21402,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,Chard Community Hospital,Chard Outpatients 21402,Additional Clinical Services,Leavers,1
Neighbourhood Services,Chard Community Hospital,Chard Administration 21540,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,Chard Community Hospital,Chard Administration 21540,Administrative and Clerical,Leavers,1
Corporate Support Services,Research and Development,SIREN 75504,Additional Clinical Services,Leavers,1
Neighbourhood Services,Carer Budget,Carer Assessment - CAMHS 61203,Additional Clinical Services,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Rydon Ward 2 50182,Allied Health Professionals,Leavers,1
Medical Services,Cardiology,Clinical Investigations 76275,Nursing and Midwifery Registered,Leavers,1
Surgical Services,Breast,Maple Unit 75791,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,CMHS East,Appts Mendip 51230,Allied Health Professionals,Leavers,1
Medical Services,Medical DayCare DEPT,Queensway Day Hospital 76333,Students,Hires,1
Medical Services,Medical Services Management DEPT,MSG Medical Staffing 21020,Nursing and Midwifery Registered,Hires,1
Medical Services,Medical Services Management DEPT,MSG Medical Staffing 21020,Nursing and Midwifery Registered,Leavers,1
Medical Services,Medical Services Management DEPT,MSG Medical Staffing 21020,Nursing and Midwifery Registered,Sickness,1
Medical Services,Medical Services Management DEPT,Medical Service Grp Management 29000,Medical and Dental,Leavers,1
Medical Services,Medical Services Management DEPT,Medical Service Grp Management 29000,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,Autism Service,Autism Service 55300,Additional Clinical Services,Hires,1
Mental Health and Learning Disabilities,Autism Service,Autism Service 55300,Add Prof Scientific and Technic,Leavers,1
Mental Health and Learning Disabilities,Autism Service,Autism Service 55300,Add Prof Scientific and Technic,Hires,1
Medical Services,Medical Services Management DEPT,Urgent Care Management 76380,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,AOT West,Taunton Assertive Outreach Team 51100,Nursing and Midwifery Registered,Hires,1
Medical Services,Medical Services Management DEPT,Urgent Care Management 76380,Allied Health Professionals,Hires,1
Mental Health and Learning Disabilities,AOT West,Taunton Assertive Outreach Team 51100,Additional Clinical Services,Hires,1
Mental Health and Learning Disabilities,AOT West,Taunton Assertive Outreach Team 51100,Add Prof Scientific and Technic,Hires,1
Medical Services,Medical Services Management DEPT,Urgent Care Management 76380,Allied Health Professionals,Leavers,1
Mental Health and Learning Disabilities,AOT West,Bridgwater Assertive Outreach Team 51101,Additional Clinical Services,Leavers,1
Medical Services,Medical Services Management DEPT,Urgent Care Management 76380,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Appts Mendip 51230,Allied Health Professionals,Hires,1
Mental Health and Learning Disabilities,CMHS East,Appts Mendip 51230,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS East,South Somerset CMHT 51211,Add Prof Scientific and Technic,Leavers,1
Medical Services,Medical DayCare DEPT,Queensway Day Hospital 76333,Additional Clinical Services,Hires,1
Mental Health and Learning Disabilities,CMHS East,Personality Disorders South Somerset 51261,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Personality Disorder Team Mendip 51260,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Personality Disorder Team Mendip 51260,Administrative and Clerical,Leavers,1
Medical Services,Endocrinology,Diab & Endo Medical Staff 76297,Nursing and Midwifery Registered,Hires,1
Mental Health and Learning Disabilities,CMHS East,Personality Disorder Team Mendip 51260,Add Prof Scientific and Technic,Leavers,1
Medical Services,Endocrinology,Diabetes 21120,Additional Clinical Services,Hires,1
Mental Health and Learning Disabilities,CMHS East,Mendip CMHT 51210,Add Prof Scientific and Technic,Leavers,1
Medical Services,Endocrinology,Diabetes Nurses - Adult 76301,Nursing and Midwifery Registered,Hires,1
Medical Services,Endocrinology,Diabetes Nurses - Adult 76301,Nursing and Midwifery Registered,Leavers,1
Medical Services,Endocrinology,Endocrinology Med Stf 21100,Add Prof Scientific and Technic,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Eating Disorders Team Mendip 51250,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Eating Disorders Team Mendip 51250,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Eating Disorders Team Mendip 51250,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,CMHS East,Eating Disorders Team Mendip 51250,Add Prof Scientific and Technic,Hires,1
Medical Services,Endocrinology,Endocrinology Med Stf 21100,Additional Clinical Services,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Connect18 Mendip 51240,Allied Health Professionals,Leavers,1
Medical Services,Medical DayCare DEPT,Medical Day Unit 20100,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,AOT West,Bridgwater Assertive Outreach Team 51101,Add Prof Scientific and Technic,Hires,1
Medical Services,Nephrology DEPT,Nephrology Med Stf 21300,Allied Health Professionals,Hires,1
Medical Services,Nephrology DEPT,Nephrology Med Stf 21300,Allied Health Professionals,Leavers,1
Mental Health and Learning Disabilities,AOT East,Mendip Assertive Outreach Team 51200,Allied Health Professionals,Leavers,1
Medical Services,Respiratory,Coleridge Respiratory Unit 20903,Nursing and Midwifery Registered,Hires,1
Medical Services,Stroke,CLOSED Rehab Specialists 20640,Allied Health Professionals,Hires,1
Medical Services,Respiratory,Lung Function 20902,Healthcare Scientists,Hires,1
Medical Services,Rheumatology,Rheumatology Med Stf - SOM 21200,Nursing and Midwifery Registered,Leavers,1
Medical Services,Rheumatology,Rheumatology Med Stf - SOM 21200,Nursing and Midwifery Registered,Hires,1
Medical Services,Rheumatology,CLOSED - Rheumatology Nurses 76302,Nursing and Midwifery Registered,Hires,1
Medical Services,Rheumatology,CLOSED - Rheumatology Nurses 76302,Administrative and Clerical,Leavers,1
Medical Services,Rheumatology,CLOSED - Rheumatology Nurses 76302,Administrative and Clerical,Hires,1
Medical Services,Respiratory,Sleep Nurses 76271,Nursing and Midwifery Registered,Leavers,1
Medical Services,Respiratory,Sleep Nurses 76271,Nursing and Midwifery Registered,Hires,1
Medical Services,Respiratory,Resp Commercial Research Fund 20950,Administrative and Clerical,Hires,1
Medical Services,Respiratory,Resp Thoracic Med Stf 20900,Administrative and Clerical,Leavers,1
Medical Services,Respiratory,Respiratory Nurses 76270,Additional Clinical Services,Leavers,1
Medical Services,Respiratory,Respiratory Nurses 76270,Additional Clinical Services,Hires,1
Medical Services,Respiratory,Resp Thoracic Med Stf 20900,Nursing and Midwifery Registered,Hires,1
Medical Services,Respiratory,Respiratory Medical Staff 76263,Medical and Dental,Leavers,1
Medical Services,Respiratory,Resp Thoracic Med Stf 20900,Nursing and Midwifery Registered,Leavers,1
Medical Services,Respiratory,Coleridge Respiratory Unit 20903,Administrative and Clerical,Leavers,1
Medical Services,Respiratory,Coleridge Respiratory Unit 20903,Administrative and Clerical,Hires,1
Medical Services,Neurology,Neurophysiology 20702,Healthcare Scientists,Leavers,1
Medical Services,Stroke,Ward 8B Stroke and Gen Med 76330,Nursing and Midwifery Registered,Hires,1
Medical Services,Nephrology DEPT,Nephrology Med Stf 21300,Nursing and Midwifery Registered,Hires,1
Mental Health and Learning Disabilities,AOT East,Mendip Assertive Outreach Team 51200,Add Prof Scientific and Technic,Hires,1
Mental Health and Learning Disabilities,AOT East,AOT South Somerset 51201,Nursing and Midwifery Registered,Leavers,1
Medical Services,Neuro Rehab,Lydeard Ward - SNRC 20801,Administrative and Clerical,Hires,1
Medical Services,Neuro Rehab,Lydeard Ward - SNRC 20801,Administrative and Clerical,Leavers,1
Medical Services,Neurology,Neurology Admin 20706,Administrative and Clerical,Hires,1
Medical Services,Neurology,Neurology Med Stf 20700,Additional Clinical Services,Hires,1
Medical Services,Neurology,Neurology Med Stf 20700,Additional Clinical Services,Leavers,1
Medical Services,Stroke,Stroke Care Med Staff 20600,Administrative and Clerical,Hires,1
Medical Services,Neurology,Neurology Med Stf 20700,Nursing and Midwifery Registered,Hires,1
Medical Services,Stroke,Stroke Team 76272,Nursing and Midwifery Registered,Leavers,1
Medical Services,Neurology,Neurophysio Med Stf 20701,Medical and Dental,Hires,1
Medical Services,Neurology,Neurophysio Med Stf 20701,Medical and Dental,Leavers,1
Medical Services,Stroke,Stroke Care Med Staff 20600,Nursing and Midwifery Registered,Leavers,1
Medical Services,Stroke,Stroke Care Med Staff 20600,Nursing and Midwifery Registered,Hires,1
Medical Services,Stroke,Stroke Care Med Staff 20600,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,CMHS East,South Somerset CMHT 51211,Add Prof Scientific and Technic,Hires,1
Medical Services,Endocrinology,Diab & Endo Medical Staff 76297,Add Prof Scientific and Technic,Hires,1
Mental Health and Learning Disabilities,Inpatients DEPT,Rydon Ward 1 50180,Estates and Ancillary,Hires,1
Medical Services,Care of the Older Person DEPT,Care of The Elderly Snr 60031,Nursing and Midwifery Registered,Hires,1
Mental Health and Learning Disabilities,Inpatients DEPT,Holford Ward Team 50170,Allied Health Professionals,Hires,1
Medical Services,Care of the Older Person DEPT,Eliot Ward 20403,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,Inpatients DEPT,Holford Ward Team 50170,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Holford Ward Team 50170,Administrative and Clerical,Hires,1
Medical Services,Care of the Older Person DEPT,Eliot Ward 20403,Administrative and Clerical,Leavers,1
Medical Services,Care of the Older Person DEPT,FAU 76210,Administrative and Clerical,Hires,1
Medical Services,Care of the Older Person DEPT,FAU 76210,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,Directorate Management MH DEPT,Division Management MHICS 58000,Allied Health Professionals,Leavers,1
Mental Health and Learning Disabilities,Community Rehab DEPT,Open Mental Health Rehab 55307,Nursing and Midwifery Registered,Leavers,1
Medical Services,Care of the Older Person DEPT,Triscombe CO Older Persons Unit 20401,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,Co-Production Service DEPT,Somerset Recovery 56701,Administrative and Clerical,Hires,1
Medical Services,Care of the Older Person DEPT,Triscombe CO Older Persons Unit 20401,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,Co-Production Service DEPT,Somerset Recovery 56701,Additional Clinical Services,Hires,1
Mental Health and Learning Disabilities,Co-Production Service DEPT,Co-Production Services 56700,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,CMHS West,Transformation West OP 51190,Additional Clinical Services,Hires,1
Medical Services,Dermatology,Dermatology Med Stf 12002,Medical and Dental,Hires,1
Medical Services,Dermatology,Dermatology Med Stf 12002,Medical and Dental,Leavers,1
Medical Services,Care of the Older Person DEPT,Care of The Elderly Snr 60031,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Add Prof Scientific and Technic,Hires,1
Medical Services,Endocrinology,Conservators Ward 20202,Administrative and Clerical,Leavers,1
Medical Services,Care of the Older Person DEPT,Care of The Elderly Snr 60031,Administrative and Clerical,Leavers,1
Medical Services,Cardiology,Fielding Ward 21004,Administrative and Clerical,Leavers,1
Medical Services,Cardiology,Medicine Ward 8A 76280,Students,Leavers,1
Medical Services,Care of the Older Person DEPT,Acute Frailty Unit 20402,Medical and Dental,Hires,1
Medical Services,Care of the Older Person DEPT,Acute Frailty Unit 20402,Medical and Dental,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 2 50281,Allied Health Professionals,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 2 50281,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 2 50281,Administrative and Clerical,Hires,1
Medical Services,Care of the Older Person DEPT,CLOSED - Wordsworth Ward 20400,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 1 50280,Allied Health Professionals,Hires,1
Medical Services,Care of the Older Person DEPT,COE Medical Staff 76296,Medical and Dental,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan SAs 50283,Estates and Ancillary,Sickness,1
Medical Services,Care of the Older Person DEPT,Care Of Elderly Med Stf 62000,Add Prof Scientific and Technic,Hires,1
Medical Services,Care of the Older Person DEPT,Care Of Elderly Med Stf 62000,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Estates and Ancillary,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Allied Health Professionals,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,CMHS West,Transformation West 51170,Administrative and Clerical,Hires,1
Medical Services,Dermatology,Dermatology Nurses 12014,Additional Clinical Services,Hires,1
Medical Services,Dermatology,Dermatology Nurses 12014,Nursing and Midwifery Registered,Hires,1
Medical Services,Dermatology,Dermatology Nurses 75854,Nursing and Midwifery Registered,Hires,1
Medical Services,Emergency Care DEPT,CYP - Childrens and young pers 76219,Add Prof Scientific and Technic,Leavers,1
Mental Health and Learning Disabilities,CMHS West,Bridgwater CMH Team 51111,Allied Health Professionals,Leavers,1
Medical Services,Emergency Care DEPT,CYP - Childrens and young pers 76219,Students,Hires,1
Medical Services,Emergency Care DEPT,Emergency Care Medical Staff 20000,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,CMHS West,Adult Psychological Therapies Service Taunton 51130,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS West,Adult Psychological Therapies Service Taunton 51130,Nursing and Midwifery Registered,Hires,1
Medical Services,Emergency Care DEPT,Emergency Care Medical Staff 20000,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS West,Adult Psychological Therapies Service Taunton 51130,Allied Health Professionals,Leavers,1
Medical Services,Emergency Care DEPT,SDEC - Same Day Emergency Care 20105,Allied Health Professionals,Leavers,1
Medical Services,Emergency Care DEPT,SDEC Y - Same Day Emergency Care 76205,Allied Health Professionals,Hires,1
Mental Health and Learning Disabilities,CMHS West,Adult Psychological Therapies Service Bridgwater 51131,Allied Health Professionals,Hires,1
Medical Services,Endocrinology,CLOSED Diabetes Specialist NR 21101,Allied Health Professionals,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Transformation East OP 51290,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Nursing and Midwifery Registered,Hires,1
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Allied Health Professionals,Leavers,1
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Allied Health Professionals,Hires,1
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Add Prof Scientific and Technic,Hires,1
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Additional Clinical Services,Hires,1
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Administrative and Clerical,Hires,1
Mental Health and Learning Disabilities,CMHS West,Eating Disorders Bridgwater 51151,Additional Clinical Services,Hires,1
Medical Services,Dermatology,PUVA Clinic 12003,Additional Clinical Services,Leavers,1
Medical Services,Dermatology,PUVA Clinic 12003,Estates and Ancillary,Sickness,1
Medical Services,Dermatology,PUVA Clinic 12003,Nursing and Midwifery Registered,Hires,1
Mental Health and Learning Disabilities,CMHS West,Eating Disorders Bridgwater CLOSED,Nursing and Midwifery Registered,Leavers,1
Medical Services,Dermatology,PUVA Clinic 12003,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS West,Eating Disorders Bridgwater 51151,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS West,Eating Disorders Bridgwater 51151,Allied Health Professionals,Hires,1
Mental Health and Learning Disabilities,CMHS West,Eating Disorders Bridgwater 51151,Add Prof Scientific and Technic,Leavers,1
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Administrative and Clerical,Leavers,1
Mental Health and Learning Disabilities,CMHS West,Eating Disorders Bridgwater 51151,Add Prof Scientific and Technic,Hires,1
Mental Health and Learning Disabilities,CMHS West,Connect 18 Taunton 51140,Nursing and Midwifery Registered,Hires,1
Mental Health and Learning Disabilities,CMHS West,Connect 18 Taunton 51140,Additional Clinical Services,Leavers,1
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Nursing and Midwifery Registered,Leavers,1
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Nursing and Midwifery Registered,Hires,1
Medical Services,Emergency Care DEPT,A&E Medical Staff 76202,Allied Health Professionals,Hires,1
Medical Services,Emergency Care DEPT,Accident & Emergency 76204,Estates and Ancillary,Leavers,1
Corporate Support Services,Medical Education Director of People,Plymouth Undergraduate 00601,Medical and Dental,Hires,1
Corporate Support Services,Medical Education Director of People,Plymouth Undergraduate 00601,Administrative and Clerical,Hires,1
Corporate Support Services,Medical Education Director of People,Plymouth Undergraduate 00601,Additional Clinical Services,Hires,1
Operational Management,Admin - Cancer Services,Cancer Alliance 00023,Medical and Dental,Hires,1
Clinical Support and Cancer Services,Therapies DEPT,Surgical Orthotics 38000,Additional Clinical Services,Leavers,1
Clinical Support and Cancer Services,Therapies DEPT,Surgical Orthotics 38000,Administrative and Clerical,Hires,1
Neighbourhood Services,Wincanton Community Hospital,Wincanton Nursing 20502,Additional Clinical Services,Leavers,1
Neighbourhood Services,Wincanton Community Hospital,Wincanton Hadspen Ward 20502,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,Wincanton Community Hospital,Wincanton Hadspen Ward 20502,Nursing and Midwifery Registered,Hires,1
Clinical Support and Cancer Services,Therapies DEPT,Surgical Orthotics 38000,Allied Health Professionals,Leavers,1
Clinical Support and Cancer Services,Therapies DEPT,Therapy Shop 75842,Administrative and Clerical,Leavers,1
Corporate Support Services,CPD,CPD - Top Slice 00230,Nursing and Midwifery Registered,Leavers,1
Corporate Support Services,Capital Projects DEPT,Digital EHR PDC 97127,Administrative and Clerical,Hires,1
Corporate Support Services,Central DEPT,Central Cost 75330,Nursing and Midwifery Registered,Leavers,1
Corporate Support Services,Central DEPT,Mat Pay- MPH 00512,Nursing and Midwifery Registered,Leavers,1
Corporate Support Services,Commercial,Somerset Cancer Register 00145,Nursing and Midwifery Registered,Leavers,1
Neighbourhood Services,West Mendip Community Hospital,West Mendip OPD 21410,Nursing and Midwifery Registered,Sickness,1
Corporate Support Services,Community Diagnostic Centres DEPT,CDC Management 00161,Administrative and Clerical,Hires,1
Neighbourhood Services,West Mendip Community Hospital,West Mendip OPD 21410,Additional Clinical Services,Leavers,1
Neighbourhood Services,West Mendip Community Hospital,West Mendip OPD 21410,Additional Clinical Services,Hires,1
Corporate Support Services,Community Diagnostic Centres DEPT,CDC Management 00161,Administrative and Clerical,Leavers,1
Operational Management,Admin - Cancer Services,Cancer Alliance 00023,Additional Clinical Services,Hires,1
Operational Management,Admin - Cancer Services,Cancer Alliance 00023,Medical and Dental,Leavers,1
Clinical Support and Cancer Services,Therapies DEPT,Enteral Feeding 20261,Allied Health Professionals,Hires,1
Operational Management,Admin - Cancer Services,Cancer Alliance 00023,Nursing and Midwifery Registered,Hires,1
Operational Management,Discharge Team,Discharge Lounge 00022,Administrative and Clerical,Hires,1
Clinical Support and Cancer Services,Therapies DEPT,Homefirst Therapists 75843,Allied Health Professionals,Leavers,1
Operational Management,Director of Elective Care DEPT,Elective Ops Management 00021,Nursing and Midwifery Registered,Hires,1
Operational Management,Covid-19,Covid19 00030,Administrative and Clerical,Leavers,1
Operational Management,Covid-19,CoViD-19 00030,Administrative and Clerical,Hires,1
Clinical Support and Cancer Services,Therapies DEPT,JETT 38300,Additional Clinical Services,Leavers,1
Operational Management,Clinical Site Managers,Clinical Site Managers YDH 76327,Nursing and Midwifery Registered,Hires,1
Clinical Support and Cancer Services,Therapies DEPT,Orthotics 75840,Administrative and Clerical,Hires,1
Operational Management,Clinical Site Managers,Clinical Site Managers YDH 76327,Additional Clinical Services,Leavers,1
Operational Management,Clinical Site Managers,Clinical Site Managers 00008,Nursing and Midwifery Registered,Leavers,1
Operational Management,Clinical Site Managers,Clinical Site Managers 00008,Estates and Ancillary,Leavers,1
Operational Management,Clinical Site Managers,Clinical Site Managers 00008,Administrative and Clerical,Hires,1
Operational Management,Clinical Site Managers,Clinical Site Managers 00008,Additional Clinical Services,Leavers,1
