service group,department,organisation,staff group,metric,month
Neighbourhood Services,Wincanton Community Hospital,Wincanton Nursing 20502,Nursing and Midwifery Registered,Hires,7
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Perinatal 50106,Nursing and Midwifery Registered,Hires,7
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Administrative and Clerical,Sickness,7
Mental Health and Learning Disabilities,Learning Difficulties,Learning Disabilities East 53200,Allied Health Professionals,Hires,7
CYP & Families Services,Community Paediatrics,Paediatric Therapies Mendip 42010,Allied Health Professionals,Hires,7
Neighbourhood Services,West Mendip Community Hospital,West Mendip Nursing 20501,Additional Clinical Services,Leavers,7
Corporate Support Services,Community Diagnostic Centres DEPT,West Somerset CDC 00160,Add Prof Scientific and Technic,Sickness,7
Mental Health and Learning Disabilities,CMHS East,APPTS South Somerset 51231,Add Prof Scientific and Technic,Leavers,7
CYP & Families Services,Community Paediatrics,CYP Therapy Service 42010,Allied Health Professionals,Leavers,7
Medical Services,Acute/General Medicine DEPT,Acute Medical Unit 20201,Nursing and Midwifery Registered,Hires,7
Corporate Support Services,Safeguarding,Safeguarding 00207,Nursing and Midwifery Registered,Hires,7
Surgical Services,Vascular,Tissue Viability Nurse 10015,Nursing and Midwifery Registered,Sickness,7
Surgical Services,Vascular,Vascular Nurse 10013,Administrative and Clerical,Sickness,7
Clinical Support and Cancer Services,Medical Imaging,Radiology - MPH 32000,Healthcare Scientists,Hires,7
Clinical Support and Cancer Services,Medical Imaging,Radiology - MPH 32000,Medical and Dental,Leavers,7
Clinical Support and Cancer Services,Medical Imaging,Radiology Medical Staff 76362,Medical and Dental,Hires,7
Medical Services,Acute/General Medicine DEPT,Med Staff - Acute Physicians 76208 DO NOT USE,Medical and Dental,Hires,7
Surgical Services,Breast,Breast Care Centre 16001,Allied Health Professionals,Leavers,7
Medical Services,Acute/General Medicine DEPT,Tor - Medical Ready to Go 20204,Administrative and Clerical,Sickness,7
Medical Services,Acute/General Medicine DEPT,CLOSED Other Medical - Med Staff 76262,Medical and Dental,Hires,7
Clinical Support and Cancer Services,Oncology,Clinical Oncology 34000,Administrative and Clerical,Hires,7
Clinical Support and Cancer Services,Pharmacy DEPT,Pharmacy Som Part 76349,Additional Clinical Services,Sickness,7
SSL Corporate,SSL IT and Business Info Level 5,SSL IT Services S75436,Administrative and Clerical,Leavers,7
Clinical Support and Cancer Services,Other HOPE and Palliative Care,Oncology/Haematology Nursing 35000,Additional Clinical Services,Hires,7
SSL Corporate,SSL Facilities Soft FM Level 5,SSL Logistics Team S75389,Estates and Ancillary,Leavers,7
CYP & Families Services,Acute Paediatrics,Paediatric Admin Support 76243,Administrative and Clerical,Leavers,7
Mental Health and Learning Disabilities,Talking Therapies,Talking Therapies Team 55304,Additional Clinical Services,Hires,7
Medical Services,Acute/General Medicine DEPT,Acute Medical Unit 20201,Nursing and Midwifery Registered,Leavers,7
Mental Health and Learning Disabilities,Talking Therapies,Talking Therapies Team 55304,Administrative and Clerical,Hires,7
Clinical Support and Cancer Services,Pharmacy DEPT,Pharmacy - YDH Pay 76346,Administrative and Clerical,Hires,7
Mental Health and Learning Disabilities,Learning Difficulties,Learning Disabilities East 53200,Additional Clinical Services,Hires,7
CYP & Families Services,Somerset,Dental Team - East Somerset 44010,Additional Clinical Services,Leavers,7
Neighbourhood Services,Minor Injury DEPT,Minehead MIU 20027,Allied Health Professionals,Sickness,7
Corporate Support Services,Resourcing,Nursing Apprentices 02049,Additional Clinical Services,Sickness,7
Medical Services,Endocrinology,Diab & Endo Medical Staff 76297,Medical and Dental,Hires,7
Corporate Support Services,Resourcing,Recruitment Advertising 75422,Administrative and Clerical,Hires,7
Corporate Support Services,Director of Corporate Services DEPT,Chief Executive 75301,Medical and Dental,Sickness,7
Mental Health and Learning Disabilities,CMHS East,South Somerset CMHT 51211,Nursing and Midwifery Registered,Hires,7
Corporate Support Services,Director of Communications,Communications 00402,Administrative and Clerical,Hires,7
Medical Services,Endocrinology,Endocrinology Med Stf 21100,Add Prof Scientific and Technic,Sickness,7
CYP & Families Services,Sexual Health Services,Somerset-Wide Integrated Sexual Health 42060,Medical and Dental,Leavers,7
Mental Health and Learning Disabilities,CMHS East,Eating Disorders Team Mendip 51250,Add Prof Scientific and Technic,Sickness,7
Medical Services,Cardiology,Cath Lab 21005,Nursing and Midwifery Registered,Hires,7
Medical Services,Endocrinology,Diab & Endo Medical Staff 76297,Add Prof Scientific and Technic,Sickness,7
Mental Health and Learning Disabilities,Inpatients DEPT,Rydon Ward 2 50182,Nursing and Midwifery Registered,Leavers,7
Corporate Support Services,Digital,Digital Maternity Project 05019,Administrative and Clerical,Sickness,7
Mental Health and Learning Disabilities,CMHS East,South Somerset CMHT 51211,Nursing and Midwifery Registered,Leavers,7
Surgical Services,T&O,Musculo-skeletal Interface OASIS 18009,Allied Health Professionals,Leavers,7
Corporate Support Services,Digital,Data Insights 05001,Administrative and Clerical,Leavers,7
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Add Prof Scientific and Technic,Hires,7
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Add Prof Scientific and Technic,Leavers,7
CYP & Families Services,Maternity DEPT,Newborn Hearing MPH 45070,Healthcare Scientists,Sickness,7
CYP & Families Services,Maternity DEPT,Newborn Hearing MPH 45070,Additional Clinical Services,Hires,7
Medical Services,Cardiology,Clinical Investigations 76275,Additional Clinical Services,Leavers,7
Surgical Services,Private Patients,Parkside 00121,Estates and Ancillary,Hires,6
Medical Services,Cardiology,Clinical Investigations 76275,Healthcare Scientists,Hires,6
Corporate Support Services,Resourcing,Medical Rota Admin 75419,Administrative and Clerical,Leavers,6
Medical Services,Care of the Older Person DEPT,CLOSED - Wordsworth Ward 20400,Nursing and Midwifery Registered,Leavers,6
