service group,staff group,metric,n_months,boxcox_lambda,unique_id,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,total_sum,mean,variance,median,p2point5,p5,p25,p75,p95,p97point5,max,min
Neighbourhood Services,Administrative and Clerical,Sickness,1446,-0.11756833120979918,Neighbourhood Services|Administrative and Clerical|Sickness,1,12,0.11576074800938907,4.523840593511967e-05,4.996088837123837,-3.6983574095386036,-0.10031857064299417,0.07395121143193012,0.17904909137173097,10,11,0.006878209450536209,0.004430410588333103,-0.4943632458724016,0.2575728069824294,-0.663039984397368,0.4857558035163922,-0.01634912582030778,-3716.240299982401,-2.5700140387153536,14.747334003087941,-6.110906319997826,-6.110906319997826,-6.110906319997826,-6.110906319997826,1.3919255024501103,2.8245074261222984,3.0056516105280693,3.5471379192721426,-6.110906319997826
Neighbourhood Services,Allied Health Professionals,Hires,84,-7.279960272144113,Neighbourhood Services|Allied Health Professionals|Hires,1,12,0.13064435016279485,7.930727271470184e-10,0.03135618779550625,-0.08894196375159222,-0.07369685543712111,0.27560007574162076,0.408552921734898,2,2,0.02310081951831331,0.14851676413563628,-0.41683733387740673,0.5219848843188843,-0.5968390090210385,0.9736815156312836,0.20071437740038534,2.048868236855502,0.024391288533994072,0.0027696877522307766,0.0,0.0,0.0,0.0,0.0,0.13647952472953004,0.13647952472953004,0.13731720768580594,0.0
Neighbourhood Services,Allied Health Professionals,Leavers,79,-7.389367353185593,Neighbourhood Services|Allied Health Professionals|Leavers,1,12,0.1701892659085259,1.0752103527536886e-09,-0.07123125115819624,0.010113696728706219,-0.13417433968880754,0.21177947321284774,0.32681006772842236,5,12,-0.057904913719880616,0.09423163987869598,-0.5498532757246858,0.4573472641971267,-0.7095552647944477,0.8037012302436899,-0.03692975939197761,1.482126671744954,0.01876109711069562,0.002203782103253397,0.0,0.0,0.0,0.0,0.0,0.134522400560392,0.13529121049468174,0.13532957062956644,0.0
Neighbourhood Services,Allied Health Professionals,Sickness,783,-0.1795816189152055,Neighbourhood Services|Allied Health Professionals|Sickness,1,12,0.0925311882024703,0.00022631944913878568,6.699273013066479,-1.5041120860598842,-0.15152475898106574,0.08013257583838511,0.15309471239118222,2,8,-0.04075255892259385,0.027555783008003484,-0.5055972107863675,0.29247783492053986,-0.669776016681074,0.5323260314041033,-0.03286959635864483,-2754.205444018821,-3.5175037599218655,19.182739685615164,-7.1636399000275714,-7.1636399000275714,-7.1636399000275714,-7.1636399000275714,1.601655641421973,2.5582520413855976,2.674688868934927,2.9610330820399056,-7.1636399000275714
Neighbourhood Services,Estates and Ancillary,Sickness,24,,Neighbourhood Services|Estates and Ancillary|Sickness,1,12,0.0,0.0,0.0,-0.0,,,0.0,1,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neighbourhood Services,Healthcare Scientists,Sickness,24,,Neighbourhood Services|Healthcare Scientists|Sickness,1,12,0.0,0.0,0.0,-0.0,,,0.0,1,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neighbourhood Services,Medical and Dental,Leavers,48,-1.1440266307843503,Neighbourhood Services|Medical and Dental|Leavers,1,12,0.23683536236063019,1.6185093311660825e-06,-0.604455643012491,0.36275393833538705,-0.01873019484906956,0.41324741592048747,0.3999695884590445,5,10,0.1645886381435196,0.15900430508289148,-0.38113957839848017,0.3401684997059554,-0.5640071862035427,0.4584376110272833,-0.16487755002177948,12.772396644735759,0.2660915967653283,0.09966109855439394,0.0,0.0,0.0,0.0,0.5152773540056594,0.7615574404098089,0.7615574404098089,0.8178477058930209,0.0
Neighbourhood Services,Medical and Dental,Sickness,417,-0.8019983371839072,Neighbourhood Services|Medical and Dental|Sickness,1,12,0.08344286159339931,1.052739595037139,-19.13608753485932,-11.507762745745225,-0.10475483741262227,0.08431063109517675,0.1946836835544007,7,6,-0.04229314365039859,0.020863619377389335,-0.4857978589478503,0.2552608301047929,-0.6484774351304307,0.46108493108936954,-0.005763149928701787,-16660.021886507275,-39.952090854933516,362.2474994712283,-48.85143970531885,-48.85143970531885,-48.85143970531885,-48.85143970531885,-48.85143970531885,1.1543976121807862,1.16985670906792,1.1985894893514806,-48.85143970531885
Neighbourhood Services,Nursing and Midwifery Registered,Hires,250,-5.198139789112332,Neighbourhood Services|Nursing and Midwifery Registered|Hires,1,12,0.1027974125245239,5.937160830528823e-10,-0.17542079552091788,0.11031048287819371,-0.1878327185791001,0.17373832172430226,0.21866229852290486,6,9,-0.10009872145578275,0.051983121103238696,-0.519696978880642,0.33907519665419805,-0.6622791273085109,0.5487638864552667,0.028183035157458278,8.318312844967284,0.03327325137986914,0.005205137458596601,0.0,0.0,0.0,0.0,0.0,0.19173970289196854,0.19235299903033878,0.19237620002093445,0.0
Neighbourhood Services,Nursing and Midwifery Registered,Leavers,313,-5.092034314771638,Neighbourhood Services|Nursing and Midwifery Registered|Leavers,1,12,0.15428916947826332,4.955170067852177e-10,-0.07698222520368822,-0.14142549038272625,-0.16196833437703298,0.10774905195741383,0.11716422582262798,1,1,-0.009604187101314495,0.03301704627699237,-0.5386064598440006,0.3027283220205929,-0.6903955895006727,0.5282020743948604,-0.03586825619821792,11.571173161027506,0.03696860434833069,0.005782635818259697,0.0,0.0,0.0,0.0,0.0,0.1956547145331459,0.19621635503328813,0.196384537292384,0.0
Neighbourhood Services,Nursing and Midwifery Registered,Sickness,1963,0.055321588820818834,Neighbourhood Services|Nursing and Midwifery Registered|Sickness,1,12,0.10083106107636974,1.9934710062492605e-05,5.354526284973149,-4.992084573121389,-0.09442211348830493,0.07210976332016167,0.1813599487679456,2,3,0.005240803619289174,0.0038902806192553843,-0.49048332617217544,0.242956644670864,-0.6663792400958476,0.4770063258411654,-0.007079360115133412,119.32559174382757,0.06078736207021272,12.600704559571762,1.1362208496467612,-4.065350200267154,-4.065350200267154,-4.065350200267154,3.404053191209341,4.724306092036838,5.161964782436506,6.079521178127469,-4.065350200267154
Operational Management,Additional Clinical Services,Leavers,29,-3.8132825094022915,Operational Management|Additional Clinical Services|Leavers,1,12,0.7460528646521585,9.185229423524733e-10,0.16097198443640706,0.08756465401181326,0.0943875061225712,0.4157467531378063,0.965404260240966,11,4,0.12858529841863073,0.12803006105317813,-0.3907393879332664,0.21718687187518618,-0.5990848315608527,0.43613680291627654,0.009888246200406944,1.9780524003752356,0.06820870346121502,0.012660331340792924,0.0,0.0,0.0,0.0,0.24358654311365652,0.25239455975345143,0.25826657084664806,0.25826657084664806,0.0
